neighborhood,minScore,maxScore,scoreRange,avgScore
Castiliëlaan,3.93568466051803,4.58423834134335,0.64855368082532,4.319560403579495
Vredeoord,3.78840645892038,4.3098943620969,0.52148790317652,4.123699242349631666666667
Meerbos,4.00573086543005,4.31433088680444,0.30860002137439,4.210175543898583333333333
TU-terrein,3.70741490325988,3.97469412734136,0.26727922408148,3.819948885658903333333333
Herdgang,4.30194468769511,4.5615330811273,0.25958839343219,4.403475983198526666666667
BeA2,3.99191143392865,4.21989626567265,0.227984831744,4.135447613847058333333333
Esp,4.17796927634289,4.36335311412906,0.18538383778617,4.29364491207798
Hondsheuvels,4.15495721365499,4.33402657368911,0.17906936003412,4.263060085825351666666667
Urkhoven,4.18549645179847,4.34831643481135,0.16281998301288,4.269354851335943333333333
Mispelhoef,4.02812434809609,4.1883248281867,0.16020048009061,4.096632445295241666666667
Witte Dame,3.93992511277363,4.09571348531003,0.1557883725364,4.01325601663133
Eindhoven Airport,4.19832497513984,4.35048915901938,0.15216418387954,4.288220501330633333333333
Woensel-West,3.89681295420801,4.04573260985158,0.14891965564357,3.985779858422313333333333
Fellenoord,3.96810970776024,4.11513040611064,0.1470206983504,4.063254442419108
Rapelenburg,3.98796760554642,4.13162802836851,0.14366042282209,4.044886943487111666666667
Philipsdorp,4.05630366909309,4.19963963826862,0.14333596917553,4.143012539544866666666667
Limbeek-Noord,3.81251440182053,3.95385978846703,0.1413453866465,3.896828647430691666666667
Schoot,4.01020082923219,4.1485626870006,0.13836185776841,4.07395082522958
Kerstroosplein,3.9491738787966,4.08503256251088,0.13585868371428,4.02925212560452
Tongelresche Akkers,4.0406236086493,4.17366450615865,0.13304089750935,4.106862849443501666666667
